question,views,posted
What is the ranking of Lovely Professional University?,93,5 days ago
What additional LPU provides apart from curriculum for B.Tech CSE.,360,2 days ago
Can I get admission after 10th?,2600,2 years ago
"What is the placement record of LPU compared to BITS, Mesra and IIIT, Hyderabad for CSE stream?",998,a week ago
How can I get B.Tech in CSE at Lovely Professional University?,45,3 days ago
What are the reviews on LPU?,658,2 weeks ago
"Can I know which university should I choose for B.Sc. Computer Science, LPU or Satyabhama?",32,3 days ago
What is the highest package that has been offered to B.Tech students by any company at Lovely Professional University?,43,a week ago
How is B.Tech in CSE from LPU compared with Jain University?,73,a week ago
Which is the best should I do BPT course from Lovely Professional University or from Harsha Hospital & Group of Institutions?,66,3 weeks ago
Are MBA placements at Lovely Professional University good?,43,21 hours ago
What is your review about LPU?,196,2 weeks ago
How does LPU assist students in securing job placements with industry leaders?,49,2 weeks ago
Is LPU a good choice for aerospace engineering?,99,2 weeks ago
How is LPU for pursuing physiotherapy?,174,3 weeks ago
Is the duration for B.Ed 2-years? What is the fee for this course? I've done B.Sc.,270,3 weeks ago
How can I get direct admission in LPU for MBA?,2400,3 weeks ago
How is the faculty and placements in CSE branch?,378,a month ago
Can I get admission in this college for B.Tech CSE through JEE Mains?,441,a month ago
What is the scope of civil engineers graduating from LPU?,184,a month ago
I want to know about the latest cutoff information for M.Sc. in Agriculture (Genetics and Plant Breeding) at LPU.,10,2 days ago
Which college is better for MBA: LPU or IBS?,666,a month ago
"I know so little & have NO interest in Computer but I like the idea of bussiness & online stuff, Marketing then should I take BCA or BBA?",451,a month ago
"I need some details regarding admission in LPU University, Punjab. I am looking for B.A in political science.",164,a month ago
How can I apply for admission at LPU?,207,a month ago
What is LPUPET? What is the process?,36,3 weeks ago
Is LPU is good for CSE in terms of placements?,318,a month ago
Which is better among LPU and GLA for B.Tech?,575,2 weeks ago
LPU or LN Mishra Institute of Economic Development Patna - which college is better for MBA?,88,a month ago
How is Lovely Professional University?,369,a month ago
Is joining LPU for BPT course a good decision?,121,a month ago
LPU is not AICTE approved. Is there any problem because of this?,239,a month ago
How are the LPU placements compared with other similar institutes and universities?,25,a week ago
Is KIIT IT branch better or LPU CSE?,388,a month ago
Which is better for civil LPU or Jain University.,84,a month ago
"Please suggest whether I should go to LPU for B.Tech (EEE) or not, like by considering fees and placement?",205,a month ago
